,time,Bx,By,Bz,speed,Vx,Vy,Vz,density,dst
24,1067405040,4.68,7.27,-25.31,743.6,-741.8,35.5,38.2,6.22,-374
25,1067405100,4.62,7.39,-25.23,755.5,-752.7,30.2,57.1,7.09,-374
26,1067405160,5.39,7.63,-25.01,753.1,-750.7,25.1,53.8,6.99,-374
27,1067405220,6.17,8.18,-24.65,750,-748.3,16.8,47.7,6.59,-374
28,1067405280,6.12,8.05,-24.62,749.8,-748.4,12.8,43.8,6.08,-374
29,1067405340,5.95,8.27,-24.51,750.3,-748.8,14.6,44.7,5.42,-374
30,1067405400,7.05,8.5,-24.1,750,-748.5,15,45,5.43,-374
31,1067405460,7.14,8.55,-23.99,736.7,-733.2,35.9,61.5,5.77,-374
32,1067405520,5.58,8.51,-24.44,736.7,-733.2,35.9,61.5,5.77,-374
33,1067405580,5.07,8.94,-24.38,737.8,-734.4,20.5,68.5,5.94,-374
34,1067405640,5.48,8.84,-24.32,737.8,-734.4,20.5,68.5,5.94,-374
35,1067405700,5.06,8.34,-24.41,736.9,-733.4,35.2,62.5,5.51,-374
36,1067405760,4.21,7.35,-25,736.9,-733.4,35.2,62.5,5.51,-374
37,1067405820,3.71,6.53,-25.37,735,-732.7,33.3,48.4,5.92,-374
38,1067405880,3.85,6.54,-25.39,735,-732.7,33.3,48.4,5.92,-374
39,1067405940,3.18,6.2,-25.61,743.4,-741.8,32.2,37.1,6.36,-374
40,1067406000,4.48,7.41,-25.18,743.4,-741.8,32.2,37.1,6.36,-374
41,1067406060,4.47,6.74,-25.43,741.3,-738.8,26.6,54.4,6.01,-374
42,1067406120,5.57,8.37,-24.76,741.3,-738.8,26.6,54.4,6.01,-374
43,1067406180,4.1,8.79,-24.79,743.1,-740.2,33.5,56.2,7.41,-374
44,1067406240,3.39,9.82,-24.45,743.1,-740.2,33.5,56.2,7.41,-374
45,1067406300,3.13,9.97,-24.32,749.8,-747.9,17.1,50.8,6.98,-374
46,1067406360,3.73,9.58,-24.34,749.7,-747.8,17.2,50.9,6.96,-374
47,1067406420,4.05,9.36,-24.35,748.1,-746,19.1,52.4,6.47,-374
48,1067406480,4.24,9.49,-24.15,744.7,-742.2,24.2,55.2,6.08,-374
49,1067406540,4.67,9.58,-23.96,738.6,-735.4,33.3,60.1,5.39,-374
50,1067406600,4.86,9.27,-23.97,746,-743.6,23.1,54.5,5.79,-374
51,1067406660,5.29,8.68,-24.07,749.6,-747.6,18.1,51.8,5.99,-374
52,1067406720,5.44,9.01,-23.88,738.9,-736.2,30.6,54.7,5.3,-374
53,1067406780,6.09,9.34,-23.53,736,-733.1,34,55.5,5.11,-374
54,1067406840,5.88,9.7,-23.19,744.4,-742.5,11.4,51.5,6.27,-374
55,1067406900,6.08,9.75,-22.98,736.2,-734.6,10.7,47.6,6.14,-374
56,1067406960,5.6,9.64,-23.2,734.1,-732,21.2,50.8,6.04,-374
57,1067407020,6.66,9.83,-22.85,737.6,-735.1,27.5,53.4,5.69,-374
58,1067407080,6.94,10.42,-22.44,731,-729.7,10.4,42.1,6.45,-374
59,1067407140,7,10.35,-22.65,731.8,-730.2,15.8,45.7,6.68,-374
60,1067407200,6.45,9.19,-23.17,735.3,-733.2,26.9,49.6,5.7,-374
61,1067407260,6.5,9.33,-23.14,733.9,-732.1,23.6,45.8,5.69,-343
62,1067407320,6.14,9.82,-22.85,730.3,-729.2,15.1,36.6,5.67,-343
63,1067407380,6.01,9.76,-22.98,731,-728.9,23.1,49,5.84,-343
64,1067407440,6.27,9.16,-23.14,732.4,-730.3,23.1,50.4,6.15,-343
65,1067407500,4.14,8.78,-23.52,728,-726.2,22.6,46.9,6.03,-343
66,1067407560,3.39,8.25,-23.76,729,-727,24,49.7,5.86,-343
67,1067407620,1.9,7.95,-23.84,732.7,-730.3,24.7,54.1,5.82,-343
68,1067407680,1.99,8.11,-23.73,724.8,-723.1,12.9,45.9,5.98,-343
69,1067407740,0.74,7.87,-23.78,708.1,-706.3,26.9,41.4,5.54,-343
70,1067407800,1.84,8.53,-23.56,715.8,-713.6,28.1,46.2,5.28,-343
71,1067407860,5.31,8.58,-23.26,710.7,-708.6,28.3,46.6,5.28,-343
72,1067407920,3.23,8.49,-23.3,715.7,-713,28.6,54,6.61,-343
73,1067407980,1.92,8.67,-23.26,715.7,-713,28.6,54,6.61,-343
74,1067408040,2.31,8.41,-23.29,715.7,-713,28.6,54,6.61,-343
75,1067408100,2.53,8.48,-23.23,710,-710,26,54,6.2,-343
76,1067408160,3.22,8.23,-23.18,715.7,-713,28.6,54,6.61,-343
77,1067408220,3.35,7.95,-23.36,715.7,-713,28.6,54,6.61,-343
78,1067408280,4.1,8.47,-23.1,715.7,-713,28.6,54,6.61,-343
79,1067408340,4.43,8.7,-22.95,710,-710,26,54,6.2,-343
80,1067408400,4.06,8.01,-23.27,710,-710,24,45,6.2,-343
81,1067408460,3.06,8.96,-23.05,709.1,-707.4,22.4,44.4,6.04,-343
82,1067408520,1.93,9.97,-22.72,709.1,-707.4,22.4,44.4,6.04,-343
83,1067408580,4.78,6.13,-23.67,709.1,-707.4,22.4,44.4,6.04,-343
84,1067408640,4.03,6.98,-23.56,709,-709,23,48,6,-343
85,1067408700,3.98,7.39,-23.5,710,-710,23,48,6,-343
86,1067408760,4.1,7.31,-23.5,712.5,-710.3,25,49.6,5.74,-343
87,1067408820,4.29,6.04,-23.73,712.5,-710.3,25,49.6,5.74,-343
88,1067408880,3.96,7.13,-23.53,712.5,-710.3,25,49.6,5.74,-343
89,1067408940,3.25,8.16,-23.35,711.4,-709.2,26.1,50.5,6.01,-343
90,1067409000,3.05,8.51,-23.21,711.4,-709.2,26.1,50.5,6.01,-343
91,1067409060,3.6,7.01,-23.65,711.4,-709.2,26.1,50.5,6.01,-343
92,1067409120,3.56,7.8,-23.41,715.2,-713.6,25.7,41,6.21,-343
93,1067409180,3.53,7.35,-23.57,715.2,-713.6,25.7,41,6.21,-343
94,1067409240,3.48,6.22,-23.92,715.2,-713.6,25.7,41,6.21,-343
95,1067409300,3.18,6.43,-23.85,717.4,-715.8,25.5,39.9,5.91,-343
96,1067409360,3.96,7.7,-23.34,717.4,-715.8,25.5,39.9,5.91,-343
97,1067409420,4.39,7.71,-23.23,718,-716,20,40,6,-343
98,1067409480,3.84,7.7,-23.35,719.9,-718.4,17.5,42.5,6.95,-343
99,1067409540,3.03,8.34,-23.3,719.9,-718.4,17.5,42.5,6.95,-343
100,1067409600,3.41,8.23,-23.28,714.6,-712.9,23.1,42.5,6.4,-343
101,1067409660,3.67,7.6,-23.41,714.6,-712.9,23.1,42.5,6.4,-343
102,1067409720,4.02,8.06,-23.19,712.9,-710.9,25.2,49,7.29,-343
103,1067409780,4.37,8.36,-23.04,712.9,-710.6,26.9,51.6,7.37,-343
104,1067409840,4.85,9.07,-22.63,713,-710.5,27.9,53,7.39,-343
105,1067409900,5.28,9.29,-22.47,721.3,-719.4,14.4,49.5,6.29,-343
106,1067409960,5.31,8.87,-22.64,719.7,-718,15.4,46.7,6.16,-343
107,1067410020,5.36,9.08,-22.56,722.5,-721.2,16.1,41.8,6.65,-343
108,1067410080,5.25,9.14,-22.56,721.4,-720,16.4,41.9,5.69,-343
109,1067410140,5.51,8.69,-22.68,720.8,-719.4,16.5,42.3,5.38,-343
110,1067410200,5.27,8.61,-22.73,721.5,-719.9,13.9,45.7,5.95,-343
111,1067410260,5.41,8.98,-22.5,721.5,-719.9,13.9,45.7,5.95,-343
112,1067410320,6.13,9.93,-21.91,723.3,-721.5,13,48.8,5.21,-343
113,1067410380,6.11,10.49,-21.65,723.3,-721.5,13,48.8,5.21,-343
114,1067410440,6.13,10.29,-21.71,722.4,-721.1,13.2,42.3,4.79,-343
115,1067410500,6.46,10.15,-21.65,722.4,-721.1,13.2,42.3,4.79,-343
116,1067410560,6.18,9.72,-21.93,722.4,-721.1,13.2,42.4,4.79,-343
117,1067410620,6.54,9.48,-21.9,724.2,-722.7,11.8,46.1,4.71,-343
118,1067410680,6.5,8.84,-22.22,724.2,-722.7,11.8,46.1,4.72,-343
119,1067410740,6.68,8.57,-22.29,723.9,-722.2,13.4,47.6,5.19,-343
120,1067410800,6.59,8.6,-22.26,723.9,-722.2,13.4,47.6,5.19,-343
121,1067410860,4.97,7.93,-22.84,720.5,-718.8,12.2,48.1,4.92,-320
122,1067410920,6.31,8.52,-22.28,721.4,-719.8,11.6,47.9,5.1,-320
123,1067410980,7.02,8.78,-22,725.4,-723.8,8.9,47.2,5.88,-320
124,1067411040,7.18,8.93,-21.87,725.8,-724.3,9.7,45.5,5.7,-320
125,1067411100,7.22,8.49,-22,726,-724.6,10.2,44.5,5.59,-320
126,1067411160,7.94,11.34,-20.44,725.8,-724.4,9.4,44.8,4.95,-320
127,1067411220,7.72,12.14,-20.09,725.6,-724.1,8.3,45.2,3.96,-320
128,1067411280,8.05,12.81,-19.45,726.9,-725.7,5,41.4,3.79,-320
129,1067411340,8.41,12.73,-19.29,727.1,-726,4.4,40.7,3.76,-320
130,1067411400,8.16,12.65,-19.35,726,-724.9,3.6,40.3,4.29,-320
131,1067411460,7.35,12.06,-19.85,726.1,-725.1,4,38.9,4.51,-320
132,1067411520,7.11,12.13,-19.93,726.2,-725.3,4.6,36.8,4.84,-320
133,1067411580,7.22,11.04,-20.23,728.8,-727.6,8,39.8,4.43,-320
134,1067411640,7.62,12.42,-19.37,729.2,-728,8.4,40.3,4.36,-320
135,1067411700,7.9,9.5,-20.74,732.5,-731.2,8.5,42.8,3.85,-320
136,1067411760,7.86,11.79,-19.54,732.2,-731.2,5.9,37.5,3.79,-320
137,1067411820,8.17,13.47,-18.24,731.9,-731.1,4.1,34,3.75,-320
138,1067411880,8.03,13.59,-18.12,729.3,-728.9,1.2,21.7,3.66,-320
139,1067411940,7.74,13.61,-18.13,729.1,-728.8,1,21,3.66,-320
140,1067412000,7.6,14,-17.82,727.7,-727.4,-4.7,22.9,3.3,-320
141,1067412060,7.5,13.22,-18.38,727.7,-727.4,-4.8,22.9,3.29,-320
142,1067412120,7.1,12.69,-18.83,727.6,-726.6,-1.3,37.3,3.6,-320
143,1067412180,7.66,12.14,-18.89,727.6,-726.6,-1.3,37.3,3.6,-320
144,1067412240,8.56,10.85,-19.31,734.5,-733.6,10.8,35.3,3.08,-320
145,1067412300,10.25,12.82,-17.06,739.3,-738.7,12.5,23.8,2.87,-320
146,1067412360,9.5,12.32,-17.88,746.5,-746.3,15.1,6.7,2.56,-320
147,1067412420,9.75,10.28,-18.94,740,-740,20,8,3,-320
148,1067412480,7.85,10.84,-19.42,735.1,-732.9,25,51.4,3.5,-320
149,1067412540,7.85,10.22,-19.75,734.9,-732.8,24.1,51,3.48,-320
150,1067412600,7.31,10.76,-19.66,732.2,-730.9,9,43.7,3.2,-320
151,1067412660,9.59,8.97,-19.51,732.2,-730.9,9,43.7,3.2,-320
152,1067412720,9.21,9.28,-19.65,735.1,-732.7,29.4,52.3,2.69,-320
153,1067412780,8.89,9.88,-19.54,735.1,-732.7,29.3,52.2,2.69,-320
154,1067412840,8.63,10.68,-19.18,727.1,-726.2,10.2,34.7,2.84,-320
155,1067412900,8.36,10.25,-19.48,727.1,-726.2,10.2,34.7,2.84,-320
156,1067412960,8.4,9.27,-19.9,728.5,-727.3,6.1,41.7,3.67,-320
157,1067413020,8.82,7.86,-20.2,728.5,-727.3,6.1,41.7,3.67,-320
158,1067413080,8.85,8.04,-20.1,729.5,-727.6,12.7,51.1,3.93,-320
159,1067413140,9.23,7.92,-19.92,729.5,-727.6,12.7,51.1,3.93,-320
160,1067413200,9.2,8.08,-19.87,729.8,-728,10.4,49.5,4,-320
161,1067413260,9.11,8.8,-19.62,730.6,-729.1,5.8,45.5,4.2,-320
162,1067413320,8.99,8.99,-19.57,729.9,-728.3,13.6,47.5,4.17,-320
163,1067413380,9.1,8.55,-19.74,725.6,-724.1,4.5,46.7,3.49,-320
164,1067413440,9.08,8.81,-19.58,727.2,-725.8,0.9,45,3.06,-320
165,1067413500,9.04,8.76,-19.61,727,-725,1.2,43.4,3.2,-320
166,1067413560,8.56,9.48,-19.47,726.3,-725,2.3,42.6,3.36,-320
167,1067413620,7.87,10.19,-19.41,726.3,-725,2.3,42.6,3.36,-320
168,1067413680,8.28,9.85,-19.4,726.3,-725,2.3,42.6,3.36,-320
169,1067413740,8.37,9.91,-19.34,726.7,-725.3,-1,45,3.11,-320
170,1067413800,8.18,9.88,-19.4,726.7,-725.3,-1,45,3.11,-320
171,1067413860,8.12,10.18,-19.25,723,-721.9,2.2,40.9,3.13,-320
172,1067413920,8.42,10.05,-19.1,723.5,-722.4,2,40.7,3.12,-320
173,1067413980,8.44,10.37,-18.88,727,-725.9,0.3,39.5,3.12,-320
174,1067414040,8.54,10.59,-18.63,727.2,-725.9,0.8,41.8,3.38,-320
175,1067414100,7.86,10.53,-18.95,725.6,-724.2,0.2,42.2,3.2,-320
176,1067414160,7.51,10.77,-18.96,716,-713.7,4.2,57.7,3.74,-320
177,1067414220,7.41,10.7,-19,708.4,-706.8,1.3,47,3.76,-320
178,1067414280,7.64,10.9,-18.64,708.2,-706.8,1.1,42.7,3.87,-320
179,1067414340,8.06,11.69,-17.83,709.7,-708.7,2.6,35.2,3.92,-320
180,1067414400,6.92,11.29,-18.46,715.9,-715.2,-5.6,30.1,3.47,-320
181,1067414460,7.51,11.65,-17.83,707,-706,-2.4,38.6,3.77,-299
182,1067414520,7.2,11.89,-17.72,706.8,-705.8,-3.9,36.3,3.81,-299
183,1067414580,8.54,12.03,-16.87,704.9,-703.9,-6.4,36.9,3.7,-299
184,1067414640,8.15,11.09,-17.67,707.5,-706.3,-3.2,40.1,3.57,-299
185,1067414700,8.31,11.2,-17.43,708.8,-707.6,-1.6,41.3,3.53,-299
186,1067414760,7.73,12.09,-17.15,707.8,-707,-7.1,33.9,3.07,-299
187,1067414820,7.97,12.28,-16.81,707.8,-707,-7,33.9,3.07,-299
188,1067414880,8.33,12.01,-16.83,707.5,-706.7,-0.9,32.5,3.42,-299
189,1067414940,8.61,11.7,-16.85,707.5,-706.7,-0.9,32.5,3.42,-299
190,1067415000,9.12,11.81,-16.47,714.7,-714.5,-0.2,14.8,2.98,-299
191,1067415060,9.04,12.04,-16.33,714.7,-714.5,-0.2,14.8,2.98,-299
192,1067415120,9.65,12.51,-15.6,721.6,-721.2,-5,23.4,3.35,-299
193,1067415180,9.89,12.85,-15.02,721.6,-721.2,-5,23.4,3.35,-299
194,1067415240,9.89,12.83,-15,720,-719.9,-1.7,6.8,3.21,-299
195,1067415300,9.62,12.66,-15.28,720,-719.9,-1.7,6.8,3.21,-299
196,1067415360,9.1,12.08,-15.93,716.5,-716.4,0.8,11.8,2.86,-299
197,1067415420,9.36,12.06,-15.81,716.4,-716.3,0.8,11.9,2.85,-299
198,1067415480,9.51,12.58,-15.25,724.2,-723.5,0.1,30.8,2.92,-299
199,1067415540,9.76,12.87,-14.78,724.2,-723.5,0.1,30.9,2.92,-299
200,1067415600,9.75,13.09,-14.58,720.2,-720,-3.5,15.2,2.97,-299
