time,Bx,By,Bz,
2003-10-30 19:20:00.000,14353.90,1706.00,49185.70,
2003-10-30 19:21:00.000,14288.70,1691.30,49141.70,
2003-10-30 19:22:00.000,14242.80,1649.90,49122.50,
2003-10-30 19:23:00.000,14249.10,1581.60,49128.80,
2003-10-30 19:24:00.000,14067.90,1561.50,49115.00,
2003-10-30 19:25:00.000,14006.90,1507.90,49091.00,
2003-10-30 19:26:00.000,14072.00,1452.00,49133.40,
2003-10-30 19:27:00.000,14158.40,1439.20,49210.70,
2003-10-30 19:28:00.000,14221.30,1458.00,49262.00,
2003-10-30 19:29:00.000,14330.30,1488.20,49301.60,
2003-10-30 19:30:00.000,14315.90,1536.60,49299.00,
2003-10-30 19:31:00.000,14466.80,1533.40,49287.30,
2003-10-30 19:32:00.000,14456.20,1549.30,49262.10,
2003-10-30 19:33:00.000,14379.60,1562.80,49195.10,
2003-10-30 19:34:00.000,14303.20,1603.10,49138.30,
2003-10-30 19:35:00.000,14278.40,1571.70,49098.90,
2003-10-30 19:36:00.000,14264.40,1550.90,49092.10,
2003-10-30 19:37:00.000,14279.50,1558.20,49080.60,
2003-10-30 19:38:00.000,14360.20,1560.50,49085.40,
2003-10-30 19:39:00.000,14428.40,1556.80,49125.80,
2003-10-30 19:40:00.000,14433.80,1607.30,49167.80,
2003-10-30 19:41:00.000,14325.90,1623.10,49160.40,
2003-10-30 19:42:00.000,14247.30,1623.00,49125.20,
2003-10-30 19:43:00.000,14213.80,1653.30,49083.80,
2003-10-30 19:44:00.000,14297.40,1671.10,49094.50,
2003-10-30 19:45:00.000,14392.70,1694.10,49106.80,
2003-10-30 19:46:00.000,14553.10,1740.80,49093.60,
2003-10-30 19:47:00.000,14677.70,1738.80,49062.10,
2003-10-30 19:48:00.000,14668.50,1707.10,49029.00,
2003-10-30 19:49:00.000,14543.00,1737.50,48969.70,
2003-10-30 19:50:00.000,14466.30,1733.20,48879.70,
2003-10-30 19:51:00.000,14329.90,1683.30,48767.50,
2003-10-30 19:52:00.000,14376.60,1678.30,48729.90,
2003-10-30 19:53:00.000,14380.60,1706.00,48738.00,
2003-10-30 19:54:00.000,13979.80,1695.00,48636.90,
2003-10-30 19:55:00.000,13659.80,1693.20,48467.10,
2003-10-30 19:56:00.000,13627.40,1692.80,48390.90,
2003-10-30 19:57:00.000,13840.20,1789.60,48438.40,
2003-10-30 19:58:00.000,13995.80,1810.90,48502.00,
2003-10-30 19:59:00.000,13618.20,1871.30,48455.90,
2003-10-30 20:00:00.000,13496.00,1991.70,48390.10,
2003-10-30 20:01:00.000,13561.10,2086.40,48411.80,
2003-10-30 20:02:00.000,13419.10,2123.50,48411.50,
2003-10-30 20:03:00.000,12891.50,2223.40,48340.30,
2003-10-30 20:04:00.000,12144.00,2447.90,48178.80,
2003-10-30 20:05:00.000,12291.20,2537.60,48166.10,
2003-10-30 20:06:00.000,12590.60,2532.50,48267.50,
2003-10-30 20:07:00.000,12828.50,2436.90,48381.00,
2003-10-30 20:08:00.000,12929.80,2614.90,48483.10,
2003-10-30 20:09:00.000,13834.60,2509.70,48676.50,
2003-10-30 20:10:00.000,13830.50,2489.10,48823.10,
2003-10-30 20:11:00.000,13686.20,2639.00,48889.80,
2003-10-30 20:12:00.000,13992.20,2561.10,48971.40,
2003-10-30 20:13:00.000,14264.20,2475.50,49071.30,
2003-10-30 20:14:00.000,14266.00,2408.80,49118.20,
2003-10-30 20:15:00.000,13980.20,2351.90,49101.40,
2003-10-30 20:16:00.000,13989.40,2298.40,49107.70,
2003-10-30 20:17:00.000,14141.20,2296.90,49170.50,
2003-10-30 20:18:00.000,14214.00,2249.60,49186.50,
2003-10-30 20:19:00.000,14241.80,2205.50,49168.60,
2003-10-30 20:20:00.000,14353.80,2154.30,49182.30,
2003-10-30 20:21:00.000,14346.90,2133.90,49196.20,
2003-10-30 20:22:00.000,14382.90,2102.20,49206.10,
2003-10-30 20:23:00.000,14387.10,2073.50,49187.00,
2003-10-30 20:24:00.000,14299.30,2068.40,49149.70,
2003-10-30 20:25:00.000,14182.70,2069.70,49120.90,
2003-10-30 20:26:00.000,13690.00,2128.60,49049.80,
2003-10-30 20:27:00.000,13265.60,2199.30,49005.20,
2003-10-30 20:28:00.000,13439.00,2222.30,49033.60,
2003-10-30 20:29:00.000,13422.80,2229.30,49067.30,
2003-10-30 20:30:00.000,13431.90,2237.30,49073.40,
2003-10-30 20:31:00.000,13421.30,2240.20,49067.80,
2003-10-30 20:32:00.000,13421.50,2180.30,49108.90,
2003-10-30 20:33:00.000,13414.70,2141.00,49165.00,
2003-10-30 20:34:00.000,13456.40,2119.80,49242.20,
2003-10-30 20:35:00.000,13627.30,2056.00,49319.20,
2003-10-30 20:36:00.000,13534.70,1997.50,49390.10,
2003-10-30 20:37:00.000,13379.80,1976.30,49457.20,
2003-10-30 20:38:00.000,13652.70,1918.00,49544.90,
2003-10-30 20:39:00.000,13892.80,1888.50,49612.20,
2003-10-30 20:40:00.000,13986.80,1920.80,49643.90,
2003-10-30 20:41:00.000,14021.70,1936.60,49660.70,
2003-10-30 20:42:00.000,14035.80,1931.30,49696.70,
2003-10-30 20:43:00.000,14057.90,1933.30,49734.20,
2003-10-30 20:44:00.000,14116.60,1916.10,49749.10,
2003-10-30 20:45:00.000,14133.40,1889.50,49733.70,
