time,Bx,By,Bz,
2003-10-30 03:37:00.000,14735.00,1708.60,49526.00,
2003-10-30 03:38:00.000,14704.00,1711.90,49524.90,
2003-10-30 03:39:00.000,14716.50,1714.40,49523.30,
2003-10-30 03:40:00.000,14746.50,1707.40,49524.30,
2003-10-30 03:41:00.000,14743.00,1704.80,49535.00,
2003-10-30 03:42:00.000,14728.60,1707.20,49539.50,
2003-10-30 03:43:00.000,14742.90,1707.50,49542.90,
2003-10-30 03:44:00.000,14727.90,1714.00,49541.40,
2003-10-30 03:45:00.000,14741.80,1710.60,49542.50,
2003-10-30 03:46:00.000,14767.80,1708.10,49560.20,
2003-10-30 03:47:00.000,14759.70,1712.40,49574.10,
2003-10-30 03:48:00.000,14778.70,1697.80,49565.60,
2003-10-30 03:49:00.000,14808.00,1706.60,49570.90,
2003-10-30 03:50:00.000,14801.40,1696.80,49588.60,
2003-10-30 03:51:00.000,14749.80,1702.00,49582.30,
2003-10-30 03:52:00.000,14789.30,1716.10,49590.00,
2003-10-30 03:53:00.000,14795.80,1717.00,49596.60,
2003-10-30 03:54:00.000,14773.90,1711.30,49591.90,
2003-10-30 03:55:00.000,14773.30,1707.00,49590.30,
2003-10-30 03:56:00.000,14770.90,1696.80,49595.00,
2003-10-30 03:57:00.000,14756.40,1697.90,49601.70,
2003-10-30 03:58:00.000,14765.00,1708.50,49606.80,
2003-10-30 03:59:00.000,14779.80,1710.00,49608.70,
2003-10-30 04:00:00.000,14772.20,1704.30,49608.10,
2003-10-30 04:01:00.000,14766.40,1697.20,49607.90,
2003-10-30 04:02:00.000,14768.70,1691.80,49612.80,
2003-10-30 04:03:00.000,14767.40,1699.90,49621.40,
2003-10-30 04:04:00.000,14771.70,1703.60,49635.20,
2003-10-30 04:05:00.000,14772.60,1705.70,49647.40,
2003-10-30 04:06:00.000,14791.50,1707.40,49660.00,
2003-10-30 04:07:00.000,14789.30,1704.00,49663.50,
2003-10-30 04:08:00.000,14783.50,1705.00,49662.00,
2003-10-30 04:09:00.000,14782.90,1709.10,49663.30,
2003-10-30 04:10:00.000,14776.90,1716.40,49663.70,
2003-10-30 04:11:00.000,14803.90,1714.60,49667.50,
2003-10-30 04:12:00.000,14828.60,1710.20,49674.70,
2003-10-30 04:13:00.000,14827.70,1713.00,49683.00,
2003-10-30 04:14:00.000,14825.80,1713.00,49689.10,
